Sector,Suprafata_mp,Numar_Camere,Etaj,An_Constructie,Distanta_Metrou_km,Bai,Balcon,Pret_Euro
3,74.6,2,1,2002,1.15,2,1,118800.0
3,74.2,1,5,1983,2.6,1,1,67600.0
1,59.9,2,5,2017,0.16,1,0,175200.0
3,77.0,1,4,1989,4.3,1,1,62900.0
3,85.5,1,4,1984,2.38,2,1,95200.0
1,73.5,3,2,2001,0.3,1,0,227300.0
3,82.6,4,9,2002,1.87,1,0,163100.0
5,94.8,2,9,1986,0.73,1,0,69000.0
2,30.0,2,10,1993,0.77,2,1,52000.0
2,93.6,3,1,1999,2.29,2,0,142900.0
1,78.6,3,6,1982,4.94,1,1,114000.0
4,42.2,3,0,2016,0.2,1,1,75000.0
1,90.1,5,5,2017,0.82,1,1,354300.0
4,60.0,5,5,1985,0.98,1,0,111700.0
2,63.5,5,2,1971,0.71,2,1,132200.0
1,57.3,1,1,1986,0.68,1,1,92400.0
6,77.6,2,1,2001,0.1,1,1,101900.0
5,50.4,4,8,2012,1.74,1,1,86500.0
3,92.5,1,10,1977,0.86,1,1,99300.0
4,66.5,2,4,2021,0.32,1,1,112500.0
6,60.9,2,6,1972,2.54,1,1,44100.0
3,88.8,3,4,1981,2.43,1,1,108700.0
3,62.0,3,6,1989,1.0,1,0,93900.0
1,93.7,1,3,1985,0.53,1,1,153200.0
3,94.5,3,7,1983,1.52,1,1,126000.0
5,36.6,2,10,1985,0.51,1,1,33800.0
6,97.7,3,9,2022,0.4,2,0,176800.0
3,33.4,5,10,2018,1.97,1,1,111100.0
1,99.3,3,9,2012,0.1,1,1,312100.0
5,120.7,2,6,2018,0.15,2,0,211800.0
2,91.9,1,9,2020,0.1,2,0,215500.0
6,30.0,4,4,2023,0.25,1,1,83100.0
3,96.6,3,10,2002,0.11,1,1,194600.0
1,126.2,2,5,1999,5.0,1,1,205900.0
2,62.4,4,4,1981,0.51,1,0,143400.0
2,69.1,4,6,1984,0.24,1,1,150200.0
4,40.3,5,1,1987,0.41,2,1,87000.0
5,77.8,4,4,1997,4.13,2,1,99400.0
3,101.7,2,9,1992,1.1,1,1,113800.0
1,87.4,2,2,1983,0.68,1,1,146300.0
4,148.5,3,8,1999,3.1,1,1,162600.0
5,70.8,3,5,2002,0.75,1,0,88400.0
4,30.0,3,9,2014,0.61,1,1,56900.0
6,74.3,4,2,1984,0.35,2,1,81500.0
5,30.0,4,6,1976,0.71,1,1,55700.0
5,56.7,5,3,1984,0.57,2,1,119000.0
3,110.6,3,2,2021,1.7,2,1,237800.0
5,78.1,1,7,2011,0.51,2,0,108400.0
4,74.5,5,3,2015,1.29,1,0,181100.0
5,115.5,1,10,2007,0.1,1,1,132300.0
3,63.2,4,0,2015,0.32,1,1,146700.0
3,101.5,5,5,2023,0.78,1,1,322900.0
6,73.2,5,9,2013,4.15,1,0,110900.0
4,79.5,2,10,1980,0.71,1,1,78900.0
2,39.6,4,10,1998,1.64,1,0,70800.0
2,57.9,4,0,2000,0.44,1,0,140400.0
5,35.1,5,4,1994,0.2,2,1,88700.0
6,67.6,4,6,2021,0.1,1,1,149400.0
1,79.8,5,5,2023,0.55,1,1,367300.0
5,42.2,2,1,1993,0.26,1,0,53300.0
6,121.2,5,10,1988,0.29,2,1,173700.0
4,77.0,4,3,1971,2.15,1,1,102700.0
4,71.4,4,10,1991,0.1,1,1,139500.0
4,89.2,5,1,1989,1.22,1,1,133500.0
4,49.3,5,10,2002,0.72,2,1,116300.0
4,74.1,5,0,1977,1.06,2,1,112400.0
6,52.1,3,2,1994,1.24,1,1,67700.0
6,109.0,4,2,2015,0.56,1,1,202400.0
3,43.5,4,6,1978,0.52,1,0,85900.0
2,71.6,3,0,2003,1.98,1,1,129200.0
4,78.2,5,8,1992,3.08,2,0,119000.0
1,79.9,2,10,1974,0.32,2,0,138900.0
6,55.5,5,5,2024,0.15,2,0,154900.0
1,47.6,5,3,1994,3.42,1,1,140700.0
1,55.8,3,2,1977,0.65,1,1,86500.0
1,83.2,4,2,1985,1.2,1,1,177700.0
3,66.4,5,1,2023,0.67,2,1,204800.0
6,89.9,4,1,2017,0.2,2,0,169000.0
1,81.9,1,9,2014,1.33,1,1,149200.0
4,30.0,4,4,2021,1.12,1,0,67800.0
5,76.2,2,8,1984,0.34,1,1,70900.0
1,126.3,2,1,1970,0.9,1,1,173100.0
3,103.1,5,1,1991,2.39,2,0,190700.0
6,80.6,4,5,1972,1.34,1,0,99100.0
3,43.5,5,9,2007,0.15,2,1,131300.0
1,81.9,3,1,2023,1.19,1,1,253400.0
6,88.5,2,3,1983,1.82,2,1,87100.0
5,63.7,5,5,2005,2.36,1,1,127600.0
1,77.9,3,4,1987,1.49,2,1,169500.0
3,107.7,5,0,2016,0.25,1,1,282900.0
2,48.6,4,5,2010,1.86,1,0,122100.0
4,43.5,4,0,1987,1.7,1,0,58600.0
3,87.3,4,2,1972,0.1,1,1,176200.0
6,81.4,4,9,1979,0.8,1,1,97200.0
1,95.7,1,4,2018,0.61,1,0,274000.0
4,84.2,3,9,2008,1.66,2,0,121300.0
1,55.8,3,4,2016,0.37,1,0,177000.0
6,80.8,4,9,1970,1.34,2,0,81200.0
1,41.4,1,5,1996,3.67,2,0,70500.0
2,63.7,4,9,1996,2.4,1,1,112600.0
4,82.6,1,7,1980,3.82,2,1,65600.0
4,61.0,4,4,2018,5.0,1,1,114400.0
6,131.7,2,10,1974,0.1,1,1,113400.0
2,30.0,2,0,1976,1.46,1,1,34800.0
3,56.3,5,4,1988,0.8,2,1,117200.0
1,46.6,4,2,1998,2.95,1,1,99000.0
5,52.5,3,3,1984,0.44,1,1,61300.0
1,53.9,5,7,2004,5.0,1,1,175100.0
1,36.8,2,6,2016,1.43,2,1,96200.0
3,88.8,4,10,2006,2.37,1,1,165000.0
1,56.3,5,4,2024,0.13,2,1,331300.0
2,74.1,4,1,1981,0.3,2,1,170000.0
2,59.1,2,5,1999,2.13,2,1,77600.0
4,52.7,5,10,1989,0.1,2,0,92600.0
6,111.8,2,5,2006,2.55,2,1,109900.0
5,93.1,1,9,1972,0.1,1,1,80300.0
1,30.0,2,9,1978,1.61,1,0,40700.0
1,30.0,4,10,2010,0.68,1,1,92700.0
3,96.1,3,5,2008,1.42,1,1,168700.0
6,57.0,2,8,1995,1.79,1,0,48600.0
2,30.0,3,10,1971,0.63,1,1,45900.0
5,96.1,1,7,1992,0.17,1,0,87900.0
4,74.2,5,7,1992,0.11,2,1,157200.0
2,76.3,5,0,1990,1.33,1,1,158800.0
6,90.2,3,4,1985,1.1,2,1,91600.0
4,37.3,5,6,1978,2.03,1,1,59300.0
3,30.0,2,5,1982,1.07,1,1,34000.0
3,109.5,3,4,1997,0.82,2,1,169400.0
1,34.1,4,7,1996,0.76,1,1,92200.0
6,39.4,2,2,2020,0.1,1,1,61800.0
5,44.4,2,5,2021,0.61,1,1,64900.0
4,122.0,2,4,1986,5.0,1,1,93500.0
2,82.3,4,7,2007,3.1,2,0,181900.0
6,94.1,1,3,2005,0.6,2,1,107300.0
6,74.9,5,7,1970,1.33,1,0,108000.0
3,55.0,3,9,1987,2.82,1,1,64600.0
1,85.8,1,1,2020,0.87,1,1,194200.0
1,31.1,3,8,1978,0.1,1,0,58200.0
4,42.6,5,8,1982,0.12,1,0,84400.0
3,88.3,4,9,2009,1.07,1,0,171900.0
6,36.1,2,9,2024,5.0,1,1,42100.0
5,65.3,2,5,2014,1.77,1,1,97500.0
3,66.4,4,3,1984,0.11,1,1,134100.0
4,56.8,1,3,2012,0.31,2,1,101900.0
4,30.0,1,5,2013,2.21,1,0,36100.0
3,54.3,3,4,2015,2.76,2,1,111800.0
4,49.4,4,5,1973,1.44,2,1,71300.0
3,74.0,1,6,2002,1.55,1,1,98000.0
2,72.8,4,6,1993,0.1,1,0,187200.0
3,79.4,5,8,2005,2.65,2,1,172100.0
3,53.1,2,7,2020,2.33,2,1,99300.0
4,83.1,2,5,2010,0.45,2,1,157000.0
4,31.1,2,5,1979,1.85,1,1,28700.0
1,30.0,4,4,2005,0.36,2,1,100500.0
1,30.0,4,0,1989,0.1,1,1,74300.0
2,57.5,3,8,2010,0.34,2,0,132300.0
1,51.2,2,8,2014,0.3,2,1,175300.0
3,89.7,3,8,2013,0.62,1,1,175600.0
4,53.8,2,10,1980,0.81,2,0,55600.0
1,76.8,3,7,1981,1.07,1,1,129800.0
1,90.3,3,9,1987,0.97,2,1,154800.0
2,52.8,5,2,1999,0.47,1,1,156900.0
6,77.5,3,0,2013,0.1,2,1,122200.0
2,95.0,4,10,2017,1.39,1,1,241000.0
3,39.0,3,7,2006,0.76,2,1,78500.0
4,70.6,2,6,1989,0.53,1,0,85900.0
2,52.9,3,4,1994,3.03,1,1,102200.0
1,40.6,1,9,1981,2.06,1,0,47600.0
4,31.6,2,6,1990,2.93,2,0,33600.0
4,40.2,1,9,1994,1.02,1,1,41700.0
1,71.5,2,3,1980,0.21,1,1,157300.0
2,30.0,4,8,1978,1.79,1,1,62700.0
1,56.2,4,10,2019,0.35,2,0,212400.0
6,90.3,4,9,1994,0.87,1,1,129000.0
4,81.2,1,1,2004,0.1,1,0,110100.0
5,56.7,5,8,2021,2.62,1,1,121200.0
5,112.2,2,8,2001,0.2,1,1,141500.0
3,117.3,4,4,2018,3.5,1,0,249300.0
1,70.7,2,10,1983,3.0,1,1,102400.0
1,30.0,1,0,1970,0.94,2,0,41400.0
3,92.2,5,6,1986,2.05,2,1,146400.0
3,30.0,1,9,1994,1.45,1,1,34700.0
3,106.9,2,9,1977,2.44,1,1,99800.0
4,97.1,5,3,1974,0.85,2,1,182100.0
6,114.4,5,8,1974,2.31,1,1,123400.0
1,76.5,1,5,2010,0.93,2,0,195700.0
4,61.0,4,2,2004,4.24,1,0,86600.0
3,58.7,2,5,1988,1.0,1,1,78800.0
1,56.3,3,9,1992,0.93,1,1,108400.0
4,94.5,3,5,1978,2.31,2,0,86800.0
6,87.8,1,4,2023,2.59,1,1,110900.0
4,73.0,2,1,1999,1.21,1,1,78100.0
6,51.9,2,9,2019,0.3,1,1,71400.0
3,135.7,1,9,1985,0.95,2,1,120900.0
6,92.8,2,1,2002,5.0,2,1,85600.0
1,30.1,4,6,1971,2.1,1,1,68800.0
3,57.1,1,1,1983,2.5,1,0,51000.0
1,93.3,4,5,2015,0.1,2,1,348100.0
5,50.0,2,4,1970,0.95,1,0,49600.0
2,78.8,1,3,1995,1.56,1,0,112400.0
6,93.8,2,6,1994,2.66,1,1,72700.0
2,30.0,1,7,1985,0.1,2,1,44800.0
2,67.3,2,3,1984,2.87,1,0,82400.0
6,68.3,4,0,1995,1.19,2,1,85500.0
3,59.7,4,0,2016,0.33,1,1,146400.0
5,77.5,2,0,2013,0.57,1,0,106400.0
1,86.4,1,10,1985,0.5,2,1,137300.0
4,73.6,3,0,1983,1.14,1,1,73400.0
1,60.7,4,4,1998,0.1,1,0,162600.0
4,85.8,4,3,1993,0.26,1,1,173400.0
1,71.2,3,8,2016,2.51,2,1,169900.0
6,64.2,2,2,2024,0.21,2,1,99300.0
5,37.2,1,6,1984,0.4,2,1,37600.0
4,30.9,2,10,1988,0.91,2,0,32400.0
3,36.7,5,7,1977,1.09,1,1,76700.0
1,77.0,4,5,2003,2.16,1,0,180900.0
1,68.0,5,9,1971,0.89,2,1,168700.0
4,33.0,4,0,1996,2.34,1,1,48100.0
3,86.1,4,7,1979,1.44,1,0,127400.0
3,104.4,5,9,2004,0.18,1,1,255900.0
6,55.0,5,2,1992,0.25,1,0,103400.0
6,30.0,2,7,2018,0.86,2,1,44900.0
6,52.3,5,3,1977,0.76,1,1,86700.0
6,91.4,2,7,1997,2.04,1,0,81100.0
6,83.7,2,10,1992,1.3,2,1,73800.0
6,46.9,2,0,1973,0.74,1,1,42000.0
5,108.0,4,2,1983,0.28,1,0,155000.0
3,103.7,4,5,2022,0.39,1,1,345500.0
6,51.7,5,8,2011,1.29,2,1,98700.0
3,51.4,4,1,1998,0.83,2,1,84400.0
3,55.2,5,10,1970,1.09,2,1,106600.0
2,57.3,4,0,1973,0.28,2,1,120900.0
5,93.8,1,9,2001,1.63,1,1,93100.0
6,80.6,1,2,2002,2.87,2,1,77500.0
1,91.9,5,3,2018,0.45,2,1,414200.0
4,86.8,4,10,1995,1.01,1,0,118000.0
1,112.9,4,4,1986,5.0,1,1,195400.0
5,43.5,2,2,2008,0.61,2,1,68200.0
4,79.5,3,9,1992,1.36,2,1,104200.0
5,30.0,5,10,2001,0.14,2,0,80800.0
3,37.1,3,1,2021,1.4,2,1,79400.0
4,68.1,3,1,1984,0.14,1,1,87400.0
3,80.5,5,6,1982,4.8,1,1,113100.0
1,67.5,4,8,1971,1.89,1,1,126500.0
1,55.8,5,9,1988,2.33,1,1,88600.0
4,60.3,3,1,1993,1.83,2,1,78000.0
4,104.2,4,6,2014,1.34,1,1,201400.0
6,60.4,1,6,1993,0.9,1,0,56300.0
5,113.7,5,10,1980,2.93,1,1,134000.0
6,89.9,5,6,1991,4.71,1,0,119000.0
5,81.4,4,2,1984,1.04,1,1,85400.0
6,40.2,1,6,1979,4.02,1,1,26200.0
3,93.4,1,0,2010,1.31,1,1,107600.0
4,57.7,4,9,1996,1.16,1,0,76200.0
1,40.1,2,0,1978,0.91,2,1,63600.0
5,82.8,5,4,2021,0.35,1,0,238100.0
5,35.3,5,1,1997,0.1,1,0,76400.0
1,50.9,3,8,1970,0.41,1,0,93700.0
6,69.7,4,6,1986,1.07,1,1,80800.0
5,125.5,3,3,2000,0.72,1,1,177000.0
3,52.8,3,3,2013,0.89,2,1,113900.0
4,58.5,1,1,1979,5.0,2,1,48900.0
1,88.3,5,4,2006,0.65,1,0,273200.0
4,39.0,3,3,1998,0.9,1,1,63200.0
5,81.1,1,0,1987,0.21,2,0,70200.0
5,100.1,4,7,2016,0.1,2,0,229100.0
1,62.3,3,2,2007,2.24,2,0,155700.0
3,95.7,5,5,2008,1.27,1,1,194100.0
2,77.3,3,3,2018,2.15,1,1,174000.0
1,51.7,4,8,1975,0.24,1,1,114700.0
2,65.1,3,6,2009,1.27,1,1,114900.0
6,60.5,5,8,1981,0.44,1,1,82800.0
2,67.8,1,9,2022,0.39,1,0,178500.0
3,73.8,5,2,1983,0.1,1,1,175300.0
6,84.7,1,0,2013,0.21,2,1,120800.0
2,82.7,2,4,2024,0.56,2,1,252000.0
6,30.0,5,2,1979,0.19,1,1,57600.0
2,67.6,5,5,2023,5.0,2,1,206800.0
3,32.3,4,7,1989,0.55,1,0,62600.0
2,63.1,3,10,1984,0.21,2,1,118300.0
2,66.9,1,3,2000,0.33,1,1,123100.0
2,94.4,1,4,1976,1.33,1,0,101300.0
1,69.2,4,4,2010,0.1,1,1,336000.0
1,76.5,4,3,1979,2.98,1,1,149900.0
1,89.8,3,3,1979,4.89,2,0,136500.0
3,100.7,3,3,2017,0.43,1,1,249400.0
6,66.9,5,3,2008,0.9,1,1,130700.0
5,72.4,2,3,1997,0.1,1,1,96000.0
2,70.3,3,4,1999,1.54,1,0,141100.0
2,56.4,4,1,2006,0.8,1,0,135300.0
3,50.8,3,1,2024,0.47,2,1,118100.0
2,30.0,1,8,1972,0.35,2,1,43900.0
1,43.1,2,1,2019,1.59,2,1,103900.0
5,30.0,5,5,2012,0.81,2,0,89100.0
4,101.4,1,1,1984,0.3,1,0,110300.0
2,74.7,1,4,1990,1.75,2,0,112700.0
1,66.9,2,3,2021,1.25,1,1,157000.0
4,52.1,5,6,2006,2.94,2,1,101800.0
5,70.7,4,6,1981,0.19,1,1,105700.0
4,48.8,5,5,1973,2.31,2,1,87200.0
1,74.4,3,9,2016,1.68,2,1,178400.0
6,76.1,1,4,1978,0.18,2,1,73400.0
6,48.5,3,0,2008,1.78,2,0,56300.0
4,48.0,4,2,2011,0.87,2,1,113900.0
3,94.1,3,8,1997,4.35,2,1,92900.0
4,68.7,5,0,1992,0.23,1,0,123800.0
2,50.5,3,4,2014,1.54,1,0,112000.0
2,60.7,4,1,2009,0.72,1,1,163400.0
6,44.7,4,3,2013,4.71,1,1,64900.0
3,68.3,4,10,1991,0.6,1,0,120500.0
1,90.8,5,0,1993,4.91,1,0,189800.0
2,69.3,4,2,2020,3.48,1,1,211900.0
6,129.1,1,9,1995,0.47,2,1,132600.0
5,80.5,4,6,1999,2.44,2,1,110100.0
6,75.7,3,9,2002,5.0,1,0,70100.0
2,47.3,3,2,1985,0.44,1,0,80500.0
2,64.0,3,3,1991,0.86,1,0,122600.0
6,50.5,5,1,2018,1.1,1,0,100600.0
1,30.0,3,2,2019,0.52,2,1,114400.0
4,94.4,5,8,2012,0.1,1,1,247600.0
2,57.2,5,2,1987,0.37,1,1,152900.0
6,51.0,4,10,1976,0.5,2,1,76700.0
6,75.3,1,4,2019,0.88,2,0,118100.0
3,82.8,4,1,1995,0.28,1,1,169000.0
4,62.0,4,3,1977,3.1,2,1,96000.0
5,69.9,5,6,1975,1.83,1,1,101500.0
1,88.7,5,6,1999,0.13,1,0,321100.0
5,61.0,3,2,2008,1.58,1,1,95700.0
4,77.6,3,4,1992,1.59,1,0,113100.0
4,30.0,4,0,2001,4.69,1,0,45200.0
4,39.0,2,9,1991,0.1,1,1,49100.0
5,85.1,2,9,2011,0.43,2,1,109000.0
4,37.7,3,9,2012,3.94,2,0,54600.0
6,75.9,2,10,2014,4.04,1,0,77600.0
5,66.3,3,0,1978,1.91,1,1,60000.0
4,60.9,5,4,2000,2.18,2,0,138100.0
6,49.3,4,9,1976,0.14,1,1,71100.0
3,92.7,1,8,1978,1.08,2,0,87300.0
4,113.2,4,0,1982,0.4,1,0,163600.0
5,77.5,3,0,1972,0.3,1,1,65800.0
2,78.1,3,3,2004,2.49,1,1,138200.0
4,52.9,4,3,2002,0.22,1,0,111700.0
2,40.1,3,1,1990,0.95,1,1,69700.0
6,69.0,2,8,2000,4.18,1,0,58400.0
3,45.7,2,8,2021,0.31,1,0,88600.0
1,30.0,3,1,2003,5.0,1,1,61500.0
3,90.1,3,8,2001,5.0,1,1,127000.0
4,91.3,2,5,2004,1.22,1,1,112300.0
2,48.5,3,7,1984,0.28,1,1,83300.0
2,76.1,3,9,2001,0.57,1,1,169200.0
5,95.0,4,3,1975,0.83,1,1,120400.0
2,75.1,1,1,2014,0.56,1,0,124200.0
5,40.2,2,1,1990,0.49,2,0,52100.0
6,64.2,4,8,2002,5.0,1,1,86900.0
1,103.2,1,0,2001,0.25,2,1,238900.0
4,76.2,3,6,2021,1.98,1,1,142200.0
5,83.5,3,10,1988,0.1,1,1,100600.0
1,78.5,4,2,2002,1.36,1,1,249300.0
2,48.6,3,2,1997,3.71,2,0,76200.0
2,54.5,5,1,2000,0.51,1,1,182500.0
1,78.5,4,9,1990,0.31,1,1,201600.0
2,90.4,1,5,2023,1.58,1,1,205900.0
6,97.5,4,9,2003,1.87,1,0,132900.0
6,48.5,2,1,1984,1.75,1,1,42500.0
1,80.8,4,9,1983,0.58,1,1,177800.0
5,99.7,3,3,1988,0.44,1,1,105100.0
5,45.3,3,9,2012,4.68,1,1,62200.0
1,107.2,5,8,1984,3.85,1,1,183000.0
5,111.0,5,8,1975,0.92,2,1,174400.0
5,135.6,5,5,2021,2.81,2,1,274900.0
6,75.8,1,3,1978,0.9,1,0,65600.0
5,75.9,5,6,2006,0.83,2,1,174200.0
3,90.7,1,0,1989,0.26,2,1,107600.0
4,89.9,5,3,2003,0.83,1,1,215300.0
2,98.2,1,4,2007,1.16,1,0,168000.0
3,89.6,4,7,1995,0.1,2,1,164500.0
5,67.3,4,1,1987,0.88,1,0,83200.0
6,100.5,3,4,1997,2.28,1,0,93300.0
1,43.2,1,5,2024,1.71,2,1,113900.0
5,70.1,2,4,2020,1.51,1,0,93400.0
6,109.1,3,8,1978,3.6,2,0,74400.0
4,38.7,4,9,2001,0.1,2,1,99700.0
5,53.1,1,0,2022,1.22,2,0,75300.0
1,86.8,5,2,1975,2.32,1,1,198800.0
6,79.8,2,1,1983,1.17,1,0,60100.0
6,48.1,4,2,1997,0.59,1,1,76600.0
6,59.6,3,9,1993,0.22,1,1,78400.0
4,40.5,1,8,1982,3.28,1,1,30300.0
5,94.5,2,8,2012,0.95,1,0,129400.0
4,63.6,1,9,1981,3.16,1,0,45500.0
2,114.8,5,1,2020,1.32,1,0,338300.0
2,72.0,3,2,1988,1.68,1,1,115100.0
5,64.5,1,3,1990,2.45,2,1,60200.0
4,62.1,4,8,1996,1.61,2,0,97800.0
1,63.9,3,2,1988,0.76,2,0,122800.0
6,72.8,4,6,1993,1.08,1,0,97600.0
6,132.8,1,2,1995,2.44,2,1,124000.0
5,61.5,3,6,2014,0.7,2,1,99400.0
2,62.3,4,6,1997,0.74,1,1,139600.0
2,71.6,5,8,2015,0.15,1,1,255400.0
6,97.3,5,1,1987,3.69,1,1,101300.0
5,34.5,1,5,2013,0.14,1,0,50700.0
4,81.4,3,8,2005,1.57,1,0,117300.0
2,49.6,2,1,2011,0.8,1,1,108800.0
4,83.8,3,1,1998,0.78,2,1,111200.0
2,57.7,5,4,1986,1.71,1,1,121000.0
2,30.0,4,9,1973,0.1,1,1,65200.0
3,79.2,2,9,2013,1.35,2,1,117700.0
2,79.0,1,9,2014,2.22,1,1,125400.0
1,55.5,2,7,1998,2.64,2,1,88600.0
5,54.0,1,10,1973,0.28,1,1,58700.0
5,37.2,2,8,1979,3.42,2,0,35300.0
4,89.3,1,1,1994,1.6,1,1,87600.0
2,92.1,1,4,2000,3.2,1,1,152400.0
1,48.0,2,6,1972,1.0,1,1,69700.0
4,56.5,2,5,2016,1.17,2,1,106800.0
3,68.4,1,5,1971,3.77,2,1,61000.0
4,126.8,5,6,1994,3.45,1,0,202900.0
4,83.6,2,2,2018,0.89,2,1,131600.0
2,46.4,3,2,1975,0.48,1,0,86800.0
3,77.6,4,9,1995,0.75,1,1,124300.0
4,35.6,1,8,1977,0.74,2,1,38100.0
1,87.9,1,7,2004,0.51,1,0,177200.0
1,111.9,4,4,1996,0.47,1,0,282300.0
5,112.0,5,5,1994,2.96,2,1,161200.0
3,88.4,4,10,1987,0.11,2,1,158200.0
3,55.4,2,9,2023,1.7,2,0,94200.0
